event_index,timestamp_s,foot_index,foot_name,is_new_contact,body_x,body_y,body_z
76,6.527530670166,0,FL,0,0.215880081058,0.082348801196,-0.513190031052
76,6.527530670166,3,RR,0,-0.381949782372,-0.091774538159,-0.519040763378
77,6.559751033783,1,FR,1,0.388012260199,-0.077951237559,-0.513052105904
77,6.559751033783,2,RL,1,-0.191255122423,0.095414981246,-0.512715101242
78,6.668681621552,1,FR,0,0.320531606674,-0.079657748342,-0.513122379780
78,6.668681621552,2,RL,0,-0.260353386402,0.090181715786,-0.516104578972
79,6.774682998657,1,FR,0,0.263533353806,-0.086154609919,-0.516229748726
79,6.774682998657,2,RL,0,-0.317629516125,0.083076156676,-0.518546462059
80,6.893404006958,1,FR,0,0.193852186203,-0.086714439094,-0.511209368706
80,6.893404006958,2,RL,0,-0.387597858906,0.081658586860,-0.512605309486
81,6.911913633347,0,FL,1,0.350663065910,0.087754629552,-0.509408473969
81,6.911913633347,3,RR,1,-0.157542794943,-0.090816214681,-0.516350030899
82,7.018435001373,0,FL,0,0.287814646959,0.084053270519,-0.511592209339
82,7.018435001373,3,RR,0,-0.220093876123,-0.089278444648,-0.520047545433
83,7.119590520859,0,FL,0,0.234492421150,0.085718557239,-0.515396654606
83,7.119590520859,3,RR,0,-0.274104356766,-0.089456759393,-0.525454998016
84,7.223806381226,0,FL,0,0.170320436358,0.085662692785,-0.513145387173
84,7.223806381226,3,RR,0,-0.339533567429,-0.088957101107,-0.523194909096
85,7.294756412506,1,FR,1,0.337819039822,-0.094327300787,-0.519666016102
85,7.294756412506,2,RL,1,-0.162371009588,0.106868624687,-0.518553435802
86,7.396059513092,1,FR,0,0.276923060417,-0.096664302051,-0.518525004387
86,7.396059513092,2,RL,0,-0.224017351866,0.100713454187,-0.521142482758
87,7.502956151962,1,FR,0,0.225068882108,-0.101982504129,-0.519263923168
87,7.502956151962,2,RL,0,-0.275469005108,0.097964845598,-0.523299098015
88,7.613988637924,1,FR,0,0.162811696529,-0.100426629186,-0.514309406281
88,7.613988637924,2,RL,0,-0.338755756617,0.097401365638,-0.519547224045
89,7.640108108521,1,FR,0,0.141496002674,-0.100285530090,-0.512572407722
89,7.640108108521,2,RL,0,-0.359514504671,0.097783021629,-0.517526686192
89,7.640108108521,3,RR,1,-0.146420627832,-0.108374923468,-0.515840470791
90,7.653891563416,0,FL,1,0.350225508213,0.087057679892,-0.516000509262
90,7.653891563416,3,RR,0,-0.155424088240,-0.110532402992,-0.518837451935
91,7.758067131042,0,FL,0,0.286884546280,0.091046527028,-0.518202781677
91,7.758067131042,3,RR,0,-0.215830355883,-0.106015153229,-0.519152283669
92,7.859777927399,0,FL,0,0.237211942673,0.091611683369,-0.521645367146
92,7.859777927399,3,RR,0,-0.266504317522,-0.108257770538,-0.521341919899
93,7.971301317215,0,FL,0,0.158823683858,0.098301842809,-0.518230199814
93,7.971301317215,3,RR,0,-0.344508409500,-0.098523393273,-0.513938844204
94,8.024968862534,0,FL,0,0.113798677921,0.096603631973,-0.516451716423
94,8.024968862534,2,RL,1,-0.161312192678,0.098337158561,-0.511998713017
94,8.024968862534,3,RR,0,-0.389317780733,-0.100274965167,-0.507179379463
95,8.032738447189,1,FR,1,0.329751551151,-0.097942255437,-0.531462073326
95,8.032738447189,2,RL,0,-0.168590843678,0.098997451365,-0.513489902020
96,8.135114431381,1,FR,0,0.244508028030,-0.100425831974,-0.540764451027
96,8.135114431381,2,RL,0,-0.250041812658,0.093586191535,-0.512107789516
97,8.241126060486,1,FR,0,0.175354570150,-0.107820510864,-0.548967719078
97,8.241126060486,2,RL,0,-0.317930370569,0.088325925171,-0.506941437721
98,8.346905231476,1,FR,0,0.095163404942,-0.109243050218,-0.562587976456
98,8.346905231476,2,RL,0,-0.395822107792,0.088495492935,-0.497331589460
99,8.440521478653,0,FL,1,0.308310478926,0.105638980865,-0.407339811325
99,8.440521478653,1,FR,0,0.000315919518,-0.110544353724,-0.564923644066
99,8.440521478653,2,RL,0,-0.488932430744,0.086819767952,-0.475482583046
99,8.440521478653,3,RR,1,-0.233084529638,-0.084011033177,-0.526956439018
100,8.544684648514,0,FL,0,0.208231955767,0.103216834366,-0.433037221432
100,8.544684648514,3,RR,0,-0.340097963810,-0.089296095073,-0.519730806351
101,8.647725343704,0,FL,0,0.108598746359,0.100744888186,-0.458633214235
101,8.647725343704,3,RR,0,-0.444969326258,-0.094688221812,-0.500303685665
102,8.752280473709,0,FL,0,0.011496132240,0.099703073502,-0.467805266380
102,8.752280473709,3,RR,0,-0.542798042297,-0.091014057398,-0.466515541077
103,8.855701446533,0,FL,0,-0.064437605441,0.091267436743,-0.461945712566
103,8.855701446533,3,RR,0,-0.617243051529,-0.106884062290,-0.428405642509
104,8.879464626312,1,FR,1,0.188647389412,-0.083195716143,-0.403546363115
104,8.879464626312,2,RL,1,-0.459031254053,0.116031169891,-0.518308341503
105,8.985664844513,1,FR,0,0.110670655966,-0.083295717835,-0.403902858496
105,8.985664844513,2,RL,0,-0.539910197258,0.115052290261,-0.488106429577
106,9.086750745773,1,FR,0,0.007178422064,-0.081852287054,-0.402134269476
106,9.086750745773,2,RL,0,-0.646497309208,0.118206702173,-0.441496312618
107,9.188516378403,1,FR,0,-0.058298736811,-0.078839935362,-0.402803808451
107,9.188516378403,2,RL,0,-0.713458716869,0.119415856898,-0.422927945852
108,9.293246984482,1,FR,0,-0.143311604857,-0.069127261639,-0.394450455904
108,9.293246984482,2,RL,0,-0.797292053699,0.128365457058,-0.400449991226
109,9.312857627869,0,FL,1,0.159047380090,0.051465578377,-0.413320392370
109,9.312857627869,3,RR,1,-0.467658579350,-0.144132390618,-0.395113348961
110,9.414376735687,0,FL,0,0.057205758989,0.052684858441,-0.404949605465
110,9.414376735687,3,RR,0,-0.563683688641,-0.131787002087,-0.383499920368
111,9.516895771027,0,FL,0,-0.000694150105,0.059090130031,-0.409355074167
111,9.516895771027,3,RR,0,-0.627566874027,-0.134477645159,-0.382150769234
112,9.627058744431,0,FL,0,-0.055590394884,0.056661553681,-0.414758354425
112,9.627058744431,3,RR,0,-0.683806180954,-0.144276037812,-0.383168280125
113,9.728300333023,0,FL,0,-0.133315682411,0.037075057626,-0.407570123672
113,9.728300333023,3,RR,0,-0.758276939392,-0.149059146643,-0.382250815630
114,9.787328958511,1,FR,1,0.137510091066,-0.041117914021,-0.435552686453
114,9.787328958511,2,RL,1,-0.466840654612,0.178280070424,-0.390196800232
115,9.887862443924,1,FR,0,0.063799560070,-0.058150663972,-0.425109505653
115,9.887862443924,2,RL,0,-0.540439724922,0.165672451258,-0.385547429323
116,9.991581201553,1,FR,0,0.006326412782,-0.060965977609,-0.419537961483
116,9.991581201553,2,RL,0,-0.599572062492,0.157196804881,-0.391432881355
